File Date,Trade Date,Form,Insider,Ticker,Security Title,Code,10b5-1,Direct,Exercise Price,Unit Price,Units Changed,Value Changed (1K),Remaining Options,Remaining Shares
2023-02-06,2023-02-06,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5294,"-600,000",-318,nan,"13,646,677"
2023-02-06,2023-02-03,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5732,"-400,000",-229,nan,"14,246,677"
2023-02-02,2023-02-02,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6030,"-300,439",-181,nan,"14,646,677"
2023-02-02,2023-02-01,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5945,"-245,859",-146,nan,"14,947,116"
2023-02-02,2023-01-31,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5817,"-500,000",-291,nan,"15,192,975"
2023-01-30,2023-01-30,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5763,"-300,000",-173,nan,"15,692,975"
2023-01-30,2023-01-27,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5736,"-155,557",-89,nan,"15,992,975"
2023-01-30,2023-01-26,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6117,"-47,760",-29,nan,"16,148,532"
2023-01-25,2023-01-25,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6186,"-300,000",-186,nan,"16,196,292"
2023-01-25,2023-01-24,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6219,"-241,266",-150,nan,"16,496,292"
2023-01-25,2023-01-23,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6292,"-300,000",-189,nan,"16,737,558"
2023-01-20,2023-01-20,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6288,"-335,393",-211,nan,"17,037,558"
2023-01-20,2023-01-19,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6271,"-308,013",-193,nan,"17,372,951"
2023-01-20,2023-01-18,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6718,"-242,734",-163,nan,"17,680,964"
2022-12-15,2022-12-14,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5041,"-306,391",-154,nan,"17,923,698"
2022-12-15,2022-12-13,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5037,"-500,000",-252,nan,"18,230,089"
2022-12-12,2022-12-12,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5165,"-500,000",-258,nan,"18,730,089"
2022-12-12,2022-12-09,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5225,"-500,000",-261,nan,"19,230,089"
2022-12-12,2022-12-08,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5238,"-500,000",-262,nan,"19,730,089"
2022-12-07,2022-12-07,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5529,"-500,000",-276,nan,"20,230,089"
2022-12-07,2022-12-06,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.5844,"-575,000",-336,nan,"20,730,089"
2022-12-07,2022-12-05,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6222,"-706,127",-439,nan,"21,305,089"
2022-12-02,2022-12-02,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6634,"-620,033",-411,nan,"22,011,216"
2022-12-02,2022-12-01,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.7018,"-1,050,110",-737,nan,"22,631,249"
2022-12-02,2022-11-30,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.7410,"-713,490",-529,nan,"23,681,359"
2022-11-18,2022-06-02,4,Harrison Michael James,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"52,448",nan,nan,"92,557"
2022-10-26,2022-10-24,4,Jennings Rebecca,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"300,000",nan,nan,"300,000"
2022-08-05,2022-08-03,4,LANG STEPHEN A,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"42,857",nan,nan,"129,089"
2022-06-27,2022-06-24,4,Sprott Eric,HYMC,Class A common stock,S - Sale,,I,nan,1.2750,"-5,000,000","-6,375",nan,"18,408,240"
2022-06-07,2022-06-02,4,"AMC ENTERTAINMENT HOLDINGS, INC.",HYMC,Class A Common Stock,A - Award,,I,nan,nan,"87,413",nan,nan,"23,495,653"
2022-06-06,2022-06-02,4,WENG THOMAS S.,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"52,448",nan,nan,"87,861"
2022-06-06,2022-06-02,4,LANG STEPHEN A,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"52,448",nan,nan,"86,232"
2022-06-06,2022-06-02,4,GARRETT DIANE R,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"839,161",nan,nan,"1,205,776"
2022-06-06,2022-06-02,4,Naccarati David C,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"52,448",nan,nan,"86,232"
2022-06-06,2022-06-02,4,WIESHOFER MARNI,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"52,448",nan,nan,"85,057"
2022-06-06,2022-06-02,4,RIDEOUT STANTON K,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"445,804",nan,nan,"646,898"
2022-04-27,nan,3,2176423 Ontario Ltd.,HYMC,Class A common stock,nan,,I,nan,nan,nan,nan,nan,"23,408,240"
2022-03-24,nan,3,"AMERICAN MULTI-CINEMA, INC.",HYMC,"Class A common stock, par value $0.0001",nan,,I,nan,nan,nan,nan,nan,"23,408,240"
2022-03-10,2022-03-08,4,WHITEBOX ADVISORS LLC,HYMC,Warrant,S - Sale,,I,11.50,0.1106,"-137,252",-15,0,nan
2022-03-10,2022-03-08,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,0.9247,"-7,817,401","-7,229",nan,"735,117"
2022-01-04,2021-12-30,4,"Mudrick Capital Management, L.P.",HYMC,Warrants,S - Sale,,I,11.50,0.0500,"-14,722",-1,"10,086,307",nan
